#proc cat nGausRV nGausWV
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_2p9_3p03_SigmaMpTTag_2 1 -1
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_3p03_3p15_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_3p03_3p15_SigmaMpTTag_1 -1 -1
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_3p03_3p15_SigmaMpTTag_2 1 -1
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_3p0_3p2_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_3p0_3p2_SigmaMpTTag_1 -1 -1
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_3p0_3p2_SigmaMpTTag_2 1 -1
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_3p2_3p4_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_3p2_3p4_SigmaMpTTag_1 -1 -1
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_3p2_3p4_SigmaMpTTag_2 1 -1
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_3p4_100p0_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_3p4_100p0_SigmaMpTTag_1 -1 -1
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_3p4_100p0_SigmaMpTTag_2 1 -1
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_m1000p0_0p0_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_m1000p0_0p0_SigmaMpTTag_1 -1 -1
OutsideAcceptance recoAbsDeltaPhiGgJet0Eta2p5_m1000p0_0p0_SigmaMpTTag_2 1 -1
